uid,title,slug,alias,published date,all tags,publish,make discoverable,is page,content,canonical url,meta description,meta image,lang,class name,first published at
eHqHLyaMKstkemajxSkJ,Leben mit Teenagern,leben-mit-teenagern,2025/05/31/eine-neue-episode-aus-leben,2025-05-30T22:00:00+00:00,"[""blog"", ""bisschensprachlos""]",True,True,False,"![Eine Textnachricht zeigt einen Austausch zwischen einem Vater und einem Kind über den Kauf einer neuen Hose wegen eines Brandlochs, inklusive eines Fotos der kaputten Hose.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/samstag-31-mai-2025-113258.webp)

Eine neue Episode aus ""Leben mit Teenagern"". ",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/samstag-31-mai-2025-113258.webp,de,,2025-05-30T22:00:00+00:00
XffVVNFGmtgpYoMSBdBB,Saisoneröffnung,saisoneroffnung,2025/05/31/saisonerffnung,2025-05-30T22:00:00+00:00,"[""blog"", ""ern\u00e4hrung"", ""unterwegs"", ""zweirradspass""]",True,True,False,"![Auto-generated description: Eine Plancha mit zwei Reglern steht auf einer Metalloberfläche und zeigt Gebrauchsspuren.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/a283u2jeduiwud-2.webp)

Heute war gleich dreifacher Saisonstart: Zum ersten Mal in diesem Jahr wurde ~~der Grill~~ die [Plancha](https://de.wikipedia.org/wiki/Grillplatte) angeheizt. Es gab Burger, ganz klassisch und super lecker. Auch dieses Jahr bleibt es dabei, das die Plancha meine liebste Art zu brutzeln ist.

Kurz darauf folgte Premiere Nummer zwei: Die erste Fahrradtour des Jahres. Ich habe den Sohnemann überzeugt, mal den [Wörther Weiher](https://de.wikipedia.org/wiki/W%C3%B6rther_Weiher) auszuprobieren. Also ging’s gemeinsam los, entspannte 11 Kilometer in Richtung Saisonauftakt Nummer drei: Der Sprung ins Wasser. Dank der Apple Watch muss man ja nicht mehr raten, wie kalt ein See wirklich ist. Es waren frische 19 Grad Celsius, um ganz genau zu sein. Für eine ausgedehnte Schwimmrunde war mir das dann doch zu frisch. Aber ein Eis ging trotzdem und dann ging’s halt wieder nach Hause.

![Der klarer, türkisfarbene Wörther Weiher, umgeben von Bäumen und strahlend blauem Himmel.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/a8jdudhwiue289-2.webp)",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/a8jdudhwiue289-2.webp,de,,2025-05-30T22:00:00+00:00
vtHkBFhjvvTPoikoJejw,🍿 Super/Man: The Christopher Reeve Story (★​★★​★​★​),superman-the-christopher-reeve-story,2025/05/19/superman-the-christopher-reeve-story,2025-05-18T22:00:00+00:00,"[""blog"", ""popcornfieber""]",True,True,False,"![Das Filmplakat für die Dokumentation Super/Man: The Christopher Reeve Story. Es zeigt eine frontale Großaufnahme des Schauspielers Christopher Reeve als Superman mit intensivem Blick und leuchtend blauen Augen. Sein dunkles Haar ist in der klassischen Locke frisiert. Er trägt ein rotes Oberteil. Über seinem Kopf steht der Slogan: ""HUSBAND. FATHER. FIGHTER. HERO."" Am unteren Rand steht der Titel SUPER/MAN THE CHRISTOPHER REEVE STORY und der Slogan: ""ONCE YOU CHOOSE HOPE, ANYTHING IS POSSIBLE.""](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/581712df97.webp)

Ehrlich gesagt fehlen mir die Worte diesen Film angemessen zu beschreiben. Ich habe mehrmals mit meinen eigenen Gefühlen und Werten gerungen und auch eine paar Tempos verbraucht.

Dabei war mir die tragische Geschichte um [Christopher Reeve](https://de.wikipedia.org/wiki/Christopher_Reeve), [Superman 1](https://en.wikipedia.org/wiki/Superman_(1978_film)), [2](https://en.wikipedia.org/wiki/Superman_II), [3](https://en.wikipedia.org/wiki/Superman_III) und [4](https://en.wikipedia.org/wiki/Superman_IV:_The_Quest_for_Peace), gar nicht präsent. Nach einem Reitunfall war er mit Paralyse an den Rollstuhl gefesselt und hat sich zusammen mit seiner Frau [Dana Reeve](https://en.wikipedia.org/wiki/Dana_Reeve), zu einem wahren Helden für Menschen mit Behinderungen entwickelt und das Leben für Betroffene, durch sein Engagement nachhaltig verbessert.

Ein sehr beeindruckender Mensch, eine beispiellose Liebe und eine starke Familie.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/581712df97.webp,de,,2025-05-18T22:00:00+00:00
AeqTJRENXgcFmaJpIMXD,Ich habe Fragen,ich-habe-fragen,2025/05/21/noch-fragen,2025-05-20T22:00:00+00:00,"[""fotos""]",True,False,False,"![Die Heckansicht eines silbernen Minivans der Marke Dodge mit einer leichten Delle im Kofferraumdeckel. Es ist ein Nummernschild aus Florida (MyFlorida.com, SUNSHINE STATE) mit der Kennzeichnung 450 SKX angebracht, gültig bis 06/25. Direkt unter dem Kennzeichen befindet sich ein gelb-schwarzer Aufkleber mit der Aufschrift ""HOW'S MY DRIVING? 1-800-737-6789"" und einer eindeutigen Kennung LM555. Oben links auf der Karosserie steht die Nummer 555.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/be6eba475f.webp)

Das ist doch irgendein Meta-Witz, oder?
",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/photo-1592634549335-f6be8df97b47.webp,de,fotos,2025-05-20T22:00:00+00:00
VRYMyNyWdzgLIDASMhML,🥾 Mit dem Wanderschuhverweigerer auf den Breitenstein,mit-dem-wanderschuhverweigerer-auf-den-breitenstein,2024/08/06/mit-dem-wanderschuhverweigerer-auf-den,2024-08-05T22:00:00+00:00,"[""blog"", ""unterwegs"", ""wandern""]",True,True,False,"Heute sind der 13-jährige Wanderschuhverweigerer und ich bei wirklich allerbesten Wetter [eine herrliche 2-Gipfelrunde](https://www.bergfex.de/mybergfex/activities/15459912) von Fischbachau aus auf den Breitenstein gestiegen. Absolut geniale Tour, die ich so uneingeschränkt empfehlen kann.

![Ein Kind in einem Trikot mit dem Namen Kroos und der Nummer 8 steht auf einem steilen, steinigen Bergpfad und blickt zu einer braun-weißen Kuh auf einer grasbewachsenen Anhöhe. Im Hintergrund ist ein Wegweiser zu sehen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/1c47d16bd937dd6e.webp)

![Ein Gipfelkreuz auf einem felsigen, grasbewachsenen Bergrücken unter einem strahlend blauen Himmel. Im Hintergrund ist eine weite Aussicht über die bayerische oder österreichische Voralpenlandschaft zu sehen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/77c08dae932d68c2.webp)

![Ein Kind mit einer Kappe und einem Deutschland-Trikot sitzt an einem Holztisch und packt ein eingewickeltes Pausenbrot aus. Neben ihm stehen eine gelbe PowerBar-Trinkflasche und eine grüne Flasche, mit einem Rucksack im Hintergrund.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/19127d7e473.webp)

![Eine handschriftliche Notiz in einem kleinen Notizbuch, gehalten von einer Hand. Die Einträge stammen vom 06.08.24 und 6.8.24, wobei eine Notiz „wunderschön hier, aber auch gut zum Verlaufen“ lautet.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/19127d760fd.webp)

![Zwei Wanderinnen sitzen auf einem Felsen am Gipfel und genießen den Blick auf ein grünes Tal und die umliegenden Berge in den Alpen. Im Tal sind eine Almhütte und ein Wanderweg zu sehen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/5ac7b2a02d3a2036.webp)

![Eine Waldboden-Szene mit großen, kahlen Baumstämmen und einem bemoosten Baumstumpf, auf dem ein kleiner Steinmann oder ein Steinhaufen liegt. Im Hintergrund erheben sich grüne Nadelbäume und Felsen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/19127d81cc2.webp)",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/1c47d16bd937dd6e.webp,de,,2024-08-05T22:00:00+00:00
yMiCiRmkMUsWobYjbQTg,Jacksonville Beach,jacksonville-beach,2025/05/20/jacksonville-beach,2025-05-20T22:00:00+00:00,"[""blog"", ""unterwegs""]",True,True,False,"Heute Nachmittag war die einzige Chance das Hotel mal zu verlassen und die Umgebung zu erkunden. [Jacksonville](https://de.m.wikipedia.org/wiki/Jacksonville_(Florida)) ist jetzt nicht unbedingt eine besonders sehenswerte Stadt, auch wenn es flächenmäßig die zweitgrößte in den USA ist. Es gibt keine richtige Downtown und keine wirklichen Attraktionen, aber es gibt einen Strand den wir heute etwas erkundet haben. Und natürlich gab es danach die berühmten Mayport Shrimp in [Joe‘s Crab Shack](https://www.joescrabshack.com/location/joes-crab-shack-jacksonville/).

![Die Vorderansicht eines Restaurants mit dem Namen ""BUCKET OF CRABS"" im oberen Bereich, das eine markante, breite Treppe mit roten Stufen und weißen Geländern hat. Links und rechts stehen hohe Palmen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/4bc84c089e.webp)

![Innenansicht einer holzgetäfelten Restaurant-Nische mit gepolsterten orangefarbenen Sitzbänken und einem dunklen Holztisch. Durch die Fenster sieht man Sonnenschirme, den Strand und das Meer. Ein aufgehängtes Netz und eine Lampe zieren den oberen Bereich der Fenster.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/1af325b182.webp)

![Eine belebte Holzpier an einem sonnigen Tag mit mehreren Leuten beim Angeln. Im Vordergrund steht ein Mann in Jeans und einem grauen Kapuzenpullover. Im Hintergrund sieht man Sonnenschirme und die türkisfarbene See unter einem klaren blauen Himmel.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/5d716bf6f6.webp)

![Zwei Möwen (Lachmöwen) stehen auf einem Sandhügel am Strand. Im Hintergrund ist das blaue Meer mit leichten Wellen und ein klarer, blauer Himmel zu sehen.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/0d8b701f13.webp)

![Drei Schilder, die an einem Holzpfosten auf einer Pier befestigt sind. Die Regeln verbieten Alkohol/Drogen, Haifischfang, Chumming (Anfüttern) und fordern Respekt und die Einhaltung der Fischereivorschriften.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/36dd9f1d70.webp)

![Eine Innenansicht eines rustikalen, maritim gestalteten Restaurants mit der Leuchtreklame ""BUCKET OF CRABS"". Es gibt orangefarbene Kunstlederbänke und Holztische, an einem Tisch steht ein blauer Stuhl.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/88eb251ea9.webp)

![Eine schwarze, historische Gedenktafel des American Red Cross Volunteer Life Saving Corps and Station vor dem weißen, turmartigen Gebäude der Rettungsstation unter einem bewölkten blauen Himmel.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/a9ed24fba1.webp)",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/4bc84c089e.webp,de,,2025-05-20T22:00:00+00:00
RIQICDvTQxnbAktmkWUv,Jungfernflug nach Hause,jungfernflug-nach-hause,2025/05/23/und-zurck,2025-05-22T22:00:00+00:00,"[""blog"", ""unterwegs""]",True,True,False,"![Eine Person hält einen in Plastik verpackten Keks in Form eines Ahornblatts mit roter Glasur.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/canada-airlines-cookie.webp)

Zum Glück hat mich ein Kollege noch darauf hingewiesen, dass ich für meinen Zwischenstopp in Kanada eine [elektronische Reisegenehmigung](https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta/apply-de.html) benötige, selbst für das bloße Umsteigen.

Der Flug von Jacksonville nach Toronto ist übrigens der [Jungfernflug von Air Canada auf dieser Route](https://www.newswire.ca/news-releases/air-canada-to-launch-into-summer-2025-with-new-non-stop-flights-to-europe-and-the-u-s--881877774.html).",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/canada-airlines-cookie.webp,de,,2025-05-22T22:00:00+00:00
RLCJzjhvHZvHAbYQJbkn,🎶 88<32016,8832016,2016/12/14/225200,2016-12-14T20:52:00+00:00,"[""blog"", ""liebefuerdieohren""]",True,True,False,"Verglichen mit meinen bisherigen Hörgewohnheiten, war das Jahr 2016 höchst ungewöhnlich. Auf der einen Seite habe ich mehr Musik gehört als jemals zuvor. Auf der anderen Seite hat sich die Zeit, die ich für den bewussten Konsum von Musik aufgewendet habe, auf wenige Künstler verteilt.

Meine Lieblingsalben des Jahres 2016 spiegeln meine Leidenschaft für minimalistische Klaviermusik. Jedes dieser Alben, für sich genommen ist absolute Weltklasse und gehört ~~unter jeden Weihnachtsbaum~~ in jede Musiksammlung.

Nils Frahm hat mit [Solo Remains](https://open.spotify.com/embed/album/79j64QJMj0UkQ2wn6Pzn1M) ein Kunstwerk von unglaublicher Melodik und atemberaubender Klangtiefe geschaffen. Das Album wurde auf dem [größten Klavier der Welt](https://de.wikipedia.org/wiki/David_Klavins#Das_Modell_370) eingespielt. Und das hört man auch. Am besten genießt man dieses Werk im dunklen Wohnzimmer. Vorausgesetzt man verfügt über entsprechendes Audio-Equipment, um die Klänge genießen zu können. Das Album kann übrigens auf der Webseite kostenlos heruntergeladen werden.

Ebenfalls [hörenswert](https://www.br-klassik.de/aktuell/br-klassik-empfiehlt/cd/cd-tipp-federico-albanese100.html) ist [Blue Hour](https://open.spotify.com/embed/album/39eaolcUiLPvOYBVwfgIEx) von Federico Albanese. Das Album wird getragen von minimalistischer Klaviermusik, hier und da untermalt von einer Handvoll elektronischer Beats und beinah unsichtbaren Begleitinstrumenten.

Unverfälschte und glasklare Klaviermusik hingegen gibt es auf dem Album [Piano Project](https://open.spotify.com/embed/album/61CiWNwL8SP2xOOQ8xeqZ8) von The Daydream Club zu hören.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/photo-1592634549335-f6be8df97b47.webp,de,,2016-12-14T20:52:00+00:00
tQJMHUeAZJFHqUgLajUT,🍿 Das Mädchen mit der Nadel (★​★★​★★),das-madchen-mit-der-nadel,2025/02/07/das-mdchen-mit-der-nadel,2025-02-06T23:00:00+00:00,"[""blog"", ""popcornfieber""]",True,True,False,"![Filmposter in Schwarz-Weiß mit violetter Akzentfarbe für den Film ""DAS MÄDCHEN MIT DER NADEL"". Eine Frau in Krankenschwester-ähnlicher Kleidung blickt intensiv in die Kamera, während eine große Nadel diagonal über ihren Kopf ragt.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/c06d7390aa3dea3a5ba55c6079709491.webp)

[Das Mädchen mit der Nadel](https://de.wikipedia.org/wiki/Das_M%C3%A4dchen_mit_der_Nadel) ist einer dieser Filme, die einen irgendwie still zurücklassen. Ohne große Gesten, aber mit eindrucksvoller Klarheit erzählt er vom Überleben in einer kalten, ungerechten Welt und davon, wie schmal die Grenze zwischen Opfer und Täter manchmal ist.

Der dänische Regisseur [Magnus von Horn](https://de.wikipedia.org/wiki/Magnus_von_Horn_(Regisseur)) hat ein bedrückend schönes Werk geschaffen, das sich Zeit nimmt, statt zu hetzen und genau deshalb so tief geht. Besonders beeindruckt hat mich die Hauptdarstellerin Vic Carmen Sonne. Ich hätte ihr in ihrem Leben noch ein paar weitere Stunden zusehen können.

Kein Film für nebenbei, aber definitiv einer, der lange nachhallt.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/c06d7390aa3dea3a5ba55c6079709491.webp,de,,2025-02-06T23:00:00+00:00
VcVKxBUcerWPZkaikNMo,🍿 Capernaum - Stadt der Hoffnung (★​★★​★★),capernaum-stadt-der-hoffnung,2025/03/04/capernaum-stadt-der-hoffnung,2025-03-03T23:00:00+00:00,"[""blog"", ""popcornfieber""]",True,True,False,"![Filmposter für ""CAPERNAUM STADT DER HOFFNUNG"". Ein Junge steht auf einer erhöhten Brücke und blickt nach unten auf ein kleineres Kind, das in einem Metalltopf sitzt. Sie stehen auf einer leeren Straße, mit einem Auto in der Ferne und hohen Wohnblocks auf der rechten Seite, unter einem hellen, bewölkten Himmel.](https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/2310076.webp)

Selten hat mich ein Film so tief bewegt wie [Capernaum - Stadt der Hoffnung](https://de.wikipedia.org/wiki/Capernaum_%E2%80%93_Stadt_der_Hoffnung) von [Nadine Labaki](https://de.wikipedia.org/wiki/Nadine_Labaki). Mit unglaublicher Intensität erzählt er die Geschichte des kleinen Zain, der in den Slums von Beirut ums Überleben kämpft, und dabei Klage gegen seine eigenen Eltern erhebt, weil sie ihn in diese Welt gesetzt haben.

Der Film ist alles andere als leichte Kost, aber gerade das macht ihn so eindrucksvoll. Die Bilder treffen mitten ins Herz, ohne dabei ins Kitschige abzurutschen. Und was [Zain Al Rafeea](https://en.wikipedia.org/wiki/Zain_Al_Rafeea) da schauspielerisch leistet, ist schlichtweg unglaublich authentisch und zutiefst berührend.

Capernaum wirft viele unbequeme Fragen auf, über Verantwortung, Kindheit, Armut, Menschlichkeit. Bei diesem Film habe ich es echt nicht geschafft, nebenbei ins Smartphone zu schauen. Und das will wirklich etwas heißen.",,,https://bear-images.sfo2.cdn.digitaloceanspaces.com/fischr/2310076.webp,de,,2025-03-03T23:00:00+00:00
